setup_id,trial_id,seed,mutation_rate,crossover_rate,crossover_type,selection_type,restricted_mating,evaluation_backend,n_jobs,chunksize,final_best_fitness,best_generation,generations_run,stopped_early,runtime_seconds
1,1,174,0.1,0.9,two_point_one_child,tournament,best_partial_match,process,8,5,0.22694897651672363,62,112,True,104.33600108399696
1,2,175,0.1,0.9,two_point_one_child,tournament,best_partial_match,process,8,5,0.22638094425201416,138,188,True,179.39751624999917
1,3,176,0.1,0.9,two_point_one_child,tournament,best_partial_match,process,8,5,0.21693487465381622,103,153,True,145.80058491700038
1,4,177,0.1,0.9,two_point_one_child,tournament,best_partial_match,process,8,5,0.20525144040584564,330,380,True,374.61848270799965
1,5,178,0.1,0.9,two_point_one_child,tournament,best_partial_match,process,8,5,0.22688180208206177,52,102,True,98.8989626659968
2,1,274,0.1,0.9,two_point_one_child,tournament,unidirectional,process,8,5,0.1890004575252533,111,161,True,155.85427104199334
2,2,275,0.1,0.9,two_point_one_child,tournament,unidirectional,process,8,5,0.18625058233737946,234,284,True,280.4069887500009
2,3,276,0.1,0.9,two_point_one_child,tournament,unidirectional,process,8,5,0.1945628970861435,189,239,True,233.36045754099905
2,4,277,0.1,0.9,two_point_one_child,tournament,unidirectional,process,8,5,0.19500117003917694,113,163,True,172.90199745900463
2,5,278,0.1,0.9,two_point_one_child,tournament,unidirectional,process,8,5,0.2048504650592804,98,148,True,146.06734095799766
3,1,374,0.1,0.9,two_point_one_child,ranking,best_partial_match,process,8,5,0.21518969535827637,144,194,True,339.6652068750045
3,2,375,0.1,0.9,two_point_one_child,ranking,best_partial_match,process,8,5,0.1964154839515686,477,500,False,505.9955491660003
3,3,376,0.1,0.9,two_point_one_child,ranking,best_partial_match,process,8,5,0.2162376493215561,111,161,True,155.9111274579991
3,4,377,0.1,0.9,two_point_one_child,ranking,best_partial_match,process,8,5,0.2141266167163849,248,298,True,292.23855566699785
3,5,378,0.1,0.9,two_point_one_child,ranking,best_partial_match,process,8,5,0.21770362555980682,106,156,True,152.74699962500017
4,1,474,0.1,0.9,two_point_one_child,ranking,unidirectional,process,8,5,0.19232386350631714,201,251,True,245.81914308299747
4,2,475,0.1,0.9,two_point_one_child,ranking,unidirectional,process,8,5,0.1839999258518219,493,500,False,490.7898694999967
4,3,476,0.1,0.9,two_point_one_child,ranking,unidirectional,process,8,5,0.17914341390132904,368,418,True,425.434437625001
4,4,477,0.1,0.9,two_point_one_child,ranking,unidirectional,process,8,5,0.19281385838985443,261,311,True,297.0315985829948
4,5,478,0.1,0.9,two_point_one_child,ranking,unidirectional,process,8,5,0.18918476998806,218,268,True,258.5333020420003
5,1,574,0.1,0.9,two_point_two_children,tournament,best_partial_match,process,8,5,0.22272300720214844,47,97,True,89.87695970799541
5,2,575,0.1,0.9,two_point_two_children,tournament,best_partial_match,process,8,5,0.2123195230960846,103,153,True,141.07715229200403
5,3,576,0.1,0.9,two_point_two_children,tournament,best_partial_match,process,8,5,0.22465072572231293,81,131,True,178.4473799999978
5,4,577,0.1,0.9,two_point_two_children,tournament,best_partial_match,process,8,5,0.21610936522483826,77,127,True,117.3372885830031
5,5,578,0.1,0.9,two_point_two_children,tournament,best_partial_match,process,8,5,0.21290932595729828,156,206,True,185.46799020800245
6,1,674,0.1,0.9,two_point_two_children,tournament,unidirectional,process,8,5,0.18851861357688904,209,259,True,239.47569191599905
6,2,675,0.1,0.9,two_point_two_children,tournament,unidirectional,process,8,5,0.19341307878494263,197,247,True,229.56873779200396
6,3,676,0.1,0.9,two_point_two_children,tournament,unidirectional,process,8,5,0.18747910857200623,232,282,True,263.8778499170003
