setup_id,mutation_rate,crossover_rate,crossover_type,selection_type,restricted_mating,evaluation_backend,n_jobs,chunksize,mean_final_best_fitness,std_final_best_fitness,min_final_best_fitness,max_final_best_fitness,mean_generations_run,stopped_early_trials,mean_runtime_seconds,completed_trials
10,0.1,0.9,pmx,tournament,unidirectional,process,8,5,0.14350788295269007,0.0024247825571141893,0.1396898031234741,0.146189197897911,500.0,0,660.9544466167994,5
9,0.1,0.9,pmx,tournament,best_partial_match,process,8,5,0.14353216290473933,0.0026160959422958504,0.1397730261087417,0.1470118761062622,465.4,2,447.723717316598,5
11,0.1,0.9,pmx,ranking,best_partial_match,process,8,5,0.14361115694046017,0.002158813883200959,0.140344962477684,0.1459088772535324,490.4,1,483.3399523752014,5
12,0.1,0.9,pmx,ranking,unidirectional,process,8,5,0.14766391515731808,0.00795399859734912,0.1401177495718002,0.1589263379573822,488.0,1,523.9865336500021,5
8,0.1,0.9,two_point_two_children,ranking,unidirectional,process,8,5,0.1832428723573684,0.010367395225141364,0.1704574674367904,0.1957531869411468,358.4,3,397.4689789085984,5
4,0.1,0.9,two_point_one_child,ranking,unidirectional,process,8,5,0.18749316632747648,0.005840120221354968,0.179143413901329,0.1928138583898544,349.6,4,343.521670166598,5
6,0.1,0.9,two_point_two_children,tournament,unidirectional,process,8,5,0.19074558019638058,0.0033975614492827333,0.1874791085720062,0.1952759176492691,250.6,5,235.09777901660127,5
2,0.1,0.9,two_point_one_child,tournament,unidirectional,process,8,5,0.1939331144094467,0.007142799122805667,0.1862505823373794,0.2048504650592804,199.0,5,197.71821114999912,5
3,0.1,0.9,two_point_one_child,ranking,best_partial_match,process,8,5,0.21193461418151854,0.008775554617423142,0.1964154839515686,0.2177036255598068,261.8,4,289.31148775820037,5
5,0.1,0.9,two_point_two_children,tournament,best_partial_match,process,8,5,0.21774238944053645,0.005656067838641303,0.2123195230960846,0.2246507257223129,142.8,5,142.44135415820057,5
1,0.1,0.9,two_point_one_child,tournament,best_partial_match,process,8,5,0.22047960758209223,0.009514841175764541,0.2052514404058456,0.2269489765167236,187.0,5,180.6103095249986,5
7,0.1,0.9,two_point_two_children,ranking,best_partial_match,process,8,5,0.22530375421047205,0.014042352922737858,0.2113067507743835,0.2407968491315841,229.4,5,227.9961002333992,5
